,text
0,I believe this moment in our lives will finally b a memory of when v had all the time on our hands &amp; our loved ones… https://t.co/SfSlAorQAD
1,When we say ‘mybmc’ then it’s with a sense of ownership and pride in all the efforts your teams are putting up to f… https://t.co/kRMwGOZbin
2,"দিদি, আপনার নিঃস্বার্থ মানবিক কাজে, একটি ভাই হয়ে হাত বাড়ানো আমার কর্তব্য।

Aami Kolkata, we believe...
“I slept a… https://t.co/uAUQoZW896"
3,"सर आप तो दिल्लीवाले हो, thank you मत करो, हुक्म करो। अपने दिल्लीवाले भाइयों और बहनों के लिए हम लगे रहेंगे। ईश्वर ने… https://t.co/R3LDIfLZcY"
4,Thank u for your service to these families. Let’s keep the good work up and instil faith in them and ourselves too.… https://t.co/Pay6eMRCls
5,You are all doing a great service. We at @MeerFoundation are glad we could be of assistance. https://t.co/L59HTG74Q4
6,We don’t ever have to thank each other during times like these. We r a family. Grateful you are working so hard for… https://t.co/N8x57TubS2
7,ह्या लढाईत आपण सगळे एकत्र आहोत कारण थेंबे थेंबे तळे साचे. सर्वांनी थोडे थोडे प्रयत्न केले तर एक मदतीचा महासागर तयार… https://t.co/QO9TGJzDAn
8,"Stay Safe Stay Healthy and don’t forget to pray.

@PMOIndia @narendramodi @OfficeofUT @AUThackeray @MamataOfficial… https://t.co/VpzlZ9NAat"
9,In these times it’s imp to make everyone around u working tirelessly for u.. not related to u.. perhaps even unknow… https://t.co/eM1GrR25zc
10,"InshaAllah #JantaCurfew will help against the spread of virus, though we may have to do this again. The clapping br… https://t.co/v1OZneRAfl"
11,"We must all do our bit and support the officials doing so much for us. 
#WarAgainstVirus @mybmc https://t.co/TDLpVhtr1F"
12,"Let’s get together and fight this #WarAgainstVirus. 

 @CMOMaharashtra @AUThackeray https://t.co/kAnBEzMDKU"
13,It’s imp 2 reduce social interaction 2 minimum. Self Quarantine.The idea of #JanataCurfew on Sunday is a means to t… https://t.co/4UdTV9tEm0
14,2/2. Hope the spread of the virus subsides &amp; the show can go on. BCCI &amp; team owners in consultation with the govt w… https://t.co/QKiocUUZEr
15,1/2    Wonderful to meet all the Franchise owners ‘off the field’ so to say. The meeting by @Bcci  and @ipl was to… https://t.co/XakwkIhYyD
16,"And to everybody here’s looking at all the colours of light. May your happiness be in all shades, vibrancy &amp; madnes… https://t.co/ChhWfmMAvH"
17,https://t.co/6YLt2FZLIE  They say don’t let success go to ur head or failure go to ur heart. When I see this my hea… https://t.co/P3edONS9bR
18,RT @RedChilliesEnt: This one’s critically approved! Do watch the extraordinary journey of a character actor in pursuit of his 500th film to…
19,A small film with a big heart...and some heart breaks. Hope it finds love from from those who see it. All the best… https://t.co/E9J53pQcEZ
20,"Being a father (3x) has been, my greatest source of pride, humility, inspiration &amp; even achievement. It has taught… https://t.co/Dc0gk7zg8w"
21,Congratulations Sanchayita. Wishing you and Shuvra only happiness as you begin your journey of togetherness. Sendin… https://t.co/ICtm8EDAE5
22,May her soul rest in peace. Kishori ‘Amma’ will be sorely missed. Especially how she used to reprimand me for smoki… https://t.co/mBCDUurZKP
23,Koi role extra nahi hota. Artist extraordinary hona chahiye. Fir banti hai picture Kaamyaab! #KaamyaabTrailer starr… https://t.co/axCZsqILw0
24,A journey of a small time actor.... an 'Extra' who is in search of an 'extraordinary' life! #Kaamyaab trailer tomor… https://t.co/jhtxJTWjEg
25,That’s such a thoughtful and important cause. Thank you and my prayers for all of you. https://t.co/37CzCdmqV0
26,"36 years...ab toh Valentine’s bhi humse pooch kar aata hai. Wishing you all, love beyond restrictions.... https://t.co/CkP9VFieGI"
27,Thank u @karanjohar &amp; @itsKajolD for making arguably the finest film of our careers. The only film I needed to see… https://t.co/a4fjkitJIO
28,The Future of Mobility is electrifying and promising with what Hyundai has to offer! Thank you @HyundaiIndia for ha… https://t.co/m3JiMFXPEa
29,"You train...u fight...u succeed. Then do it all over again.  I think with this medal, my kids have more awards than… https://t.co/KAGNUuqGKs"
30,"So wonderful, so hard working so absolutely entertaining. My all time favourite. https://t.co/bC3IxRinVr"
31,Mere pyaar dena humare bete ko. https://t.co/uWSp2QWWE4
32,"Extremely poignant story of a character artist...his struggles with himself, films and life....bitterly sweet and v… https://t.co/SP6UEkRhte"
33,Nothing beautiful happens without struggle. Let’s remember the struggle that gave us this beautiful day and celebra… https://t.co/WDC5bPviYN
34,https://t.co/0NlIOlbys8 https://t.co/tRAFre9msb
35,3 yrs of Raees. One of the most fun I had making a film. Thks to cast &amp; crew &amp; my producers. Maybe need to take Rae… https://t.co/eQLDlIMlKG
36,Missing being with u all. You in my city...will come and meet you soon. How do the kids say it...Major FOMO happeni… https://t.co/O9wxbynMb0
37,"Need to go now. Nice having a chat with u all. Sum who didn’t get a reply, next time Insha Allah. Sum sounded angry… https://t.co/sgQZWR42qI"
38,My thoughts exactly... https://t.co/XLjMeBCvSw
39,Don’t let any negativity uninspire you in your journey. U r beautiful because of who u are... https://t.co/w6R16tlkFm
40,30 saal ki mehnat mein padega. https://t.co/Y3qfb7IMdk
41,Sardi https://t.co/n8es8mo06i
42,I like cheese... https://t.co/U3XVh5hbkc
43,Please do https://t.co/5sX53YJIKr
44,Damn multiple choice questions!? Was always awful with them. https://t.co/PGFGEdXjqS
45,Bas aap Dua mein yaad rakhna. https://t.co/YRYfCjR67K
46,The ‘right thing’ is a personal feeling. Not based on anybody else’s expectations or demand. Its for your own self.… https://t.co/R6VevNAU1F
47,Wear a helmet!!! https://t.co/9pFOWjUDaW
48,Please direct this question to my chemistry teacher..@thesushmitasen https://t.co/V9ClwzU6Oh
49,I have reserved it for the best movies of my life... https://t.co/y4NYJiaJPQ
50,As soon as KKR makes you the Head Coach my friend. https://t.co/1SSCwWLS8E
51,Whenever you are sad hungry or angry...cry just a little bit while playing your favourite video game. https://t.co/YoG90FVN6E
52,If I was qualified I would have suggested a medicine...it sounds like symptoms for something for sure! https://t.co/q7WLMhNglN
53,There are places in your heart and soul which define what you become...I think. https://t.co/sjMz9cvP0h
54,I would do the very same things I do around the house. Being Famous is not a job it’s a byproduct of the work you d… https://t.co/dET0S9eHyR
55,Glad you asked this. I try my best but not always succeed. Our voice box is an amazing tool...u have to learn how t… https://t.co/mnuJAqxmxg
56,Awesome https://t.co/Sxv6MwxfnO
57,Thank you for the colours https://t.co/03bNUdSWAD
58,Main hi announce karunga aur kaun karega mere bahi! https://t.co/GU0B3qif8O
59,Chalo ek #AskSrk ho jaaye. Like only 20 Questions...then I have to go and face myself...and maybe shave too.
60,"Just a thought...
Life: 
There are sparks of love and beauty and there is darkness...that is Life. It’s our busines… https://t.co/KUHps5MxMR"
61,Can’t tell you how many of my life’s issues this one simple calculation has solved wow! Sending it to #byju to incl… https://t.co/STRHdIMcXw
62,RT @anandmahindra: Whaaaat? I didn’t know about this clever shortcut. Wish she had been MY math teacher. I probably would have been a lot b…
63,Missing your uninhibited laughter and candid conversation. https://t.co/zhKyHnOQfN
64,Day at the Races...My little ‘Gold Medal’ with his Silver and Bronze wins at the races today!! https://t.co/1k9NqjB65J
65,Fun and learning evening with the Zordaar #Zoyaakhtar &amp; the Zabardast @jeffbezos Thanx everyone at @PrimeVideoIN fo… https://t.co/SOAkfom1TO
66,Not one for telling anyone how they should be...or do what should be done...or what this year &amp; future made to be.… https://t.co/UwEcxSdRml
67,"Thank you for all the hard work to keep our city clean, Mamas and Papas. Love the film... https://t.co/80uJk4HWcW"
68,Was tied up with helping ‘Santa’ arrange gifts for the kids.  So didn’t get time to wish you all a Merry Christmas.… https://t.co/heSvkOUSnJ
69,"Wishing 20,000 bigbasketeers all the very best on Retail Employees’ Day. Aim High. Do Well in Life. @bigbasket_com https://t.co/TK9ETgJ1BB"
70,If we keep trying we shall overcome... https://t.co/gYqRxnelUP
71,I am so glad for your success. Will meet you soon. Have a good life and keep feeling as an actor....&amp; Thks everyone… https://t.co/yBYl0jEP7t
72,“Your feelings are your Super powers”...just wanted to sound ‘deep’...the real reason for the tweet is to try out t… https://t.co/91PGvBfGgu
73,Finally the California sun is out....it’s time for the Pool...maybe should dress right for it now at my @airbnb vil… https://t.co/skTMnuqVat
74,"#BobBiswas is coming to 'kill it!' 
Happy to associate with Bound Script Production to bring #BobBiswas, played by… https://t.co/4H4uHCkVnh"
75,Thank You! What an amazing journey it has been with #TEDTalksIndiaNayiBaat. I've learned and grown so much from the… https://t.co/r645Anwgmj
76,There is no issue that one cannot overcome. All problems have a solution! This Sat-Sun at 9:30pm only on @StarPlus… https://t.co/FwmPSgSkI8
77,Congratulations and my love to Anupama as she starts on this new journey of life. May it be filled with love light… https://t.co/mEdy0MEV7Q
78,"Investing in self is not necessarily being selfish? Hear this!
#TEDTalksIndiaNayiBaat, This Sat-Sun at 9:30pm only… https://t.co/c5C9EfMcyb"
79,This one was special to shoot and meet the ladies. Try and catch if you can.... https://t.co/m5sOJi9qCY
80,"How does it feel to be completely choked…. With plastic?
Can’t Imagine!
#TEDTalksIndiaNayiBaat, at 9:30pm only on… https://t.co/DeUAcyEmH3"
81,Have decided to live by ‘New Rules’ and who better to learn them from but @DUALIPA herself!! What a charming and be… https://t.co/Shv3z4DldP
82,"The Earth is screaming for help. But are we listening?
#TEDTalksIndiaNayiBaat, This Sat-Sun at 9:30pm only on… https://t.co/GJMNmdmjtv"
83,"What new ideas are changing the world around you? Have you noticed any?
#TEDTalksIndiaNayiBaat,
Sat-Sun 9:30pm on… https://t.co/1xx3lFfVNk"
84,Here’s looking forward to another 100 and more films from my friend @ajaydevgn . All the best for this milestone...… https://t.co/qnLUap9kbW
85,"Don't miss #TEDTalksIndiaNayiBaat, Tonight at 9:30pm on @StarPlus , @hotstartweets, @TEDTalks, @NatGeoIndia and… https://t.co/f7UvjVcbmK"
86,Everything is good! But Baat Baal tak pahunch jai toh mein personally leta hoon....Bala ki Biwi kahin ki!!! Love yo… https://t.co/ntjEDAltvS
87,Yaar tum hi poori kahaani ho! All the best for the endeavour and hard work. https://t.co/OzKbq6QDnT
88,@duttsanjay @arjunk26 @kritisanon #SunitaGowariker @RohitShelatkar @Shibasishsarkar @agppl @visionworldfilm… https://t.co/tPmsa2n7Zg
89,My friend @AshGowariker who made one of the best films of my career Swades is out with another offering. #Panipat -… https://t.co/pxUCP1U1gZ
90,And a very heartfelt Thank u to everyone who is reading this. Every year I feel that this is the most memorable bir… https://t.co/W3LXpOTIYJ
91,Over years I made a good house...Gauri made a good Home but I really believe we are the best at making some really… https://t.co/1byDlz8VSB
92,Thanks and keep everyone dancing to ur tunes... https://t.co/PHGt9MX6Qy
93,Thanks and keep smiling!! https://t.co/dx2Vf7cTl1
94,Keep entertaining everyone... thanks and love https://t.co/WgaRxpPcZu
95,Thank u my man!! https://t.co/8QNRYIm3wR
96,Thanks my boy!! Good luck with the cricket https://t.co/LnYnjEUGwM
97,Thank u my friend!! https://t.co/azjEGWhq7X
98,Thanks and best wishes https://t.co/f5FGWH8QWc
99,Thank u for your kind words and wishes. My regards and love to u and your family... https://t.co/pnyqwUcNY7
100,Thank u paaji... keep rocking https://t.co/sFVVEN01LE
101,Thank u for the wishes!! https://t.co/GSJdTMibBj
102,Lots of love and regards to the dynamic duo... https://t.co/mkwXKvec9t
103,Thanks and good luck always https://t.co/pzvYCeanX0
104,Thanks and best wishes for all u do... https://t.co/vfzUYPjBdP
105,Thank u baby https://t.co/oI0RsYGFeC
106,Thanks and best wishes always https://t.co/Ro6NpwWIB4
